# Sensors init exited with 1
# Xbee init exited with 0
# SD init exited with 0
# GPS init exited with 1
!!,0:0:9.20,9020,22.81
##,0:0:35.66086,35550,98939.25,201.44
%%,0:0:35.66090,35554,0.97,0.00,0.08,-0.23,11.06,-10.06,-41.06,5.06,1.63,-15.88,-1.68,-0.11,8.72
!!,0:0:35.66197,35661,22.84
@@,0:0:35.66227,35691,0,0
##,0:0:36.66052,36516,98938.50,201.31
%%,0:0:36.66057,36521,0.96,-0.03,0.05,-0.26,10.38,-8.00,-45.38,-14.88,-4.56,5.81,-0.12,-1.04,9.19
!!,0:0:36.66167,36631,22.83
@@,0:0:36.66197,36661,0,0
##,0:0:37.66021,37485,98938.00,201.19
%%,0:0:37.66025,37489,0.97,-0.04,0.05,-0.25,8.50,-5.75,-48.75,0.31,0.63,-0.19,-0.48,-1.05,9.49
!!,0:0:37.66130,37594,22.83
@@,0:0:37.66159,37623,0,0
##,0:0:38.65985,38449,98938.50,201.06
%%,0:0:38.65988,38452,0.97,-0.04,0.05,-0.25,8.88,-5.38,-49.19,0.06,-0.06,0.00,-0.60,-1.03,9.60
!!,0:0:38.66092,38556,22.83
@@,0:0:38.66122,38586,0,0
##,0:0:39.65947,39411,98939.00,201.00
%%,0:0:39.65950,39414,0.97,-0.04,0.05,-0.25,8.06,-5.38,-49.19,0.06,-0.12,-0.06,-0.59,-1.06,9.64
!!,0:0:39.66057,39521,22.83
@@,0:0:39.66086,39550,0,0
##,0:0:40.65912,40376,98937.25,201.25
%%,0:0:40.65916,40380,0.97,-0.04,0.05,-0.25,8.88,-5.38,-49.19,-0.12,0.12,0.06,-0.59,-1.02,9.59
!!,0:0:40.66019,40483,22.84
@@,0:0:40.66049,40513,0,0
##,0:0:41.65874,41338,98938.50,200.94
%%,0:0:41.65878,41342,0.97,-0.04,0.05,-0.25,8.50,-4.69,-48.25,-0.25,0.00,-0.06,-0.57,-1.06,9.58
!!,0:0:41.65984,41448,22.84
@@,0:0:41.66015,41479,0,0
##,0:0:42.65839,42303,98941.00,200.88
%%,0:0:42.65844,42308,0.97,-0.04,0.05,-0.25,9.19,-4.25,-49.19,-0.06,-0.12,0.06,-0.64,-1.03,9.59
!!,0:0:42.65950,42414,22.84
@@,0:0:42.65979,42443,0,0
##,0:0:43.65805,43269,98939.50,201.19
%%,0:0:43.65808,43272,0.97,-0.04,0.05,-0.25,8.88,-4.69,-48.38,-0.06,-0.19,-0.06,-0.57,-1.07,9.62
!!,0:0:43.65916,43380,22.84
@@,0:0:43.65946,43410,0,0
##,0:0:44.65771,44235,98944.25,200.81
%%,0:0:44.65774,44238,0.97,-0.04,0.05,-0.25,9.19,-5.06,-48.00,0.12,-0.06,0.19,-0.57,-1.04,9.59
!!,0:0:44.65879,44343,22.84
@@,0:0:44.65908,44372,0,0
##,0:0:45.65734,45198,98944.75,201.06
%%,0:0:45.65738,45202,0.97,-0.04,0.05,-0.25,9.56,-4.25,-47.56,-0.25,-0.12,-0.06,-0.60,-1.05,9.61
!!,0:0:45.65845,45309,22.84
@@,0:0:45.65875,45339,0,0
##,0:0:46.65700,46164,98940.50,201.19
%%,0:0:46.65706,46170,0.97,-0.04,0.05,-0.25,9.19,-4.69,-48.25,0.06,-0.06,-0.06,-0.61,-1.04,9.64
!!,0:0:46.65811,46275,22.84
@@,0:0:46.65841,46305,0,0
##,0:0:47.65666,47130,98944.50,200.94
%%,0:0:47.65670,47134,0.97,-0.04,0.05,-0.25,9.19,-3.56,-48.25,0.06,-0.06,0.00,-0.61,-1.04,9.65
!!,0:0:47.65774,47238,22.84
@@,0:0:47.65803,47267,0,0
##,0:0:48.65629,48093,98944.25,201.06
