%%,0:0:45.65923,45387,1.00,-0.04,0.04,0.00,8.75,18.87,-59.19,-0.06,-0.19,-0.06,-0.74,-0.77,9.65
!!,0:0:45.66010,45474,22.15
@@,0:0:45.66040,45504,0,0
##,98578.00,231.81
%%,0:0:46.65868,46332,1.00,-0.04,0.04,0.00,7.69,19.25,-57.56,-0.06,0.06,-0.06,-0.75,-0.79,9.66
!!,0:0:46.65952,46416,22.15
@@,0:0:46.65982,46446,0,0
##,98578.50,231.81
%%,0:0:47.65811,47275,1.00,-0.04,0.04,0.00,7.69,19.25,-58.00,0.12,0.06,0.00,-0.75,-0.80,9.64
!!,0:0:47.65889,47353,22.15
@@,0:0:47.65920,47384,0,0
##,98578.00,231.69
%%,0:0:48.65747,48211,1.00,-0.04,0.04,0.00,7.69,20.37,-57.25,0.00,0.06,-0.06,-0.74,-0.81,9.64
!!,0:0:48.65829,48293,22.15
@@,0:0:48.65860,48324,0,0
##,98581.00,231.69
%%,0:0:49.65689,49153,1.00,-0.04,0.04,0.00,7.25,19.25,-58.38,-0.12,0.12,0.06,-0.73,-0.79,9.66
!!,0:0:49.65769,49233,22.15
@@,0:0:49.65800,49264,0,0
##,98579.75,231.75
%%,0:0:50.65629,50093,1.00,-0.04,0.04,0.00,7.69,19.69,-57.56,-0.06,0.12,0.00,-0.77,-0.79,9.64
!!,0:0:50.65709,50173,22.15
@@,0:0:50.65739,50203,0,0
##,98580.00,231.81
%%,0:0:51.65568,51032,1.00,-0.04,0.04,0.00,6.88,18.87,-58.00,-0.37,-0.12,-0.12,-0.79,-0.72,9.66
!!,0:0:51.65654,51118,22.15
@@,0:0:51.65683,51147,0,0
##,98578.50,232.00
%%,0:0:51.66512,51976,1.00,-0.04,0.04,0.00,8.38,19.69,-57.25,-0.25,0.00,0.06,-0.73,-0.78,9.62
!!,0:0:52.65594,52058,22.15
@@,0:0:52.65623,52087,0,0
##,98577.00,231.50
%%,0:0:52.66452,52916,1.00,-0.04,0.04,0.00,7.69,18.19,-58.75,0.00,0.00,0.06,-0.77,-0.79,9.65
!!,0:0:52.66532,52996,22.15
@@,0:0:53.65561,53025,0,0
